PANTHER GO-Slim Biological Process	Mus musculus - REFLIST (21997)	upload_1 (356)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of angiogenesis (GO:0016525)	8	3	0.13	+	23.17	6.01E-04	2.72E-02
Unclassified (UNCLASSIFIED)	10437	136	168.91	-	0.81	5.97E-04	2.76E-02
cellular catabolic process (GO:0044248)	811	27	13.13	+	2.06	5.77E-04	2.79E-02
cellular lipid metabolic process (GO:0044255)	378	16	6.12	+	2.62	6.33E-04	2.81E-02
regulation of multicellular organismal process (GO:0051239)	301	14	4.87	+	2.87	5.71E-04	2.82E-02
organonitrogen compound catabolic process (GO:1901565)	513	20	8.3	+	2.41	5.59E-04	2.82E-02
biological_process (GO:0008150)	11560	220	187.09	+	1.18	5.97E-04	2.82E-02
wound healing (GO:0042060)	39	5	0.63	+	7.92	6.50E-04	2.83E-02
positive regulation of cell motility (GO:2000147)	61	6	0.99	+	6.08	6.89E-04	2.94E-02
organic substance catabolic process (GO:1901575)	778	26	12.59	+	2.06	7.49E-04	3.02E-02
positive regulation of locomotion (GO:0040017)	62	6	1	+	5.98	7.46E-04	3.07E-02
tissue regeneration (GO:0042246)	41	5	0.66	+	7.54	7.99E-04	3.11E-02
positive regulation of cellular component movement (GO:0051272)	62	6	1	+	5.98	7.46E-04	3.13E-02
fatty acid biosynthetic process (GO:0006633)	41	5	0.66	+	7.54	7.99E-04	3.17E-02
cell migration (GO:0016477)	278	13	4.5	+	2.89	8.49E-04	3.25E-02
regeneration (GO:0031099)	42	5	0.68	+	7.36	8.83E-04	3.27E-02
response to wounding (GO:0009611)	42	5	0.68	+	7.36	8.83E-04	3.32E-02
chemotaxis (GO:0006935)	179	10	2.9	+	3.45	9.41E-04	3.37E-02
taxis (GO:0042330)	179	10	2.9	+	3.45	9.41E-04	3.42E-02
unsaturated fatty acid biosynthetic process (GO:0006636)	10	3	0.16	+	18.54	1.02E-03	3.48E-02
homotypic cell-cell adhesion (GO:0034109)	10	3	0.16	+	18.54	1.02E-03	3.53E-02
supramolecular fiber organization (GO:0097435)	320	14	5.18	+	2.7	1.01E-03	3.55E-02
granulocyte chemotaxis (GO:0071621)	45	5	0.73	+	6.87	1.17E-03	3.89E-02
ribonucleoprotein complex assembly (GO:0022618)	94	7	1.52	+	4.6	1.17E-03	3.94E-02
carbohydrate catabolic process (GO:0016052)	46	5	0.74	+	6.72	1.28E-03	4.01E-02
monocarboxylic acid biosynthetic process (GO:0072330)	46	5	0.74	+	6.72	1.28E-03	4.07E-02
cell chemotaxis (GO:0060326)	69	6	1.12	+	5.37	1.25E-03	4.08E-02
platelet activation (GO:0030168)	11	3	0.18	+	16.85	1.28E-03	4.12E-02
lipid transport (GO:0006869)	125	8	2.02	+	3.95	1.34E-03	4.12E-02
regulation of leukocyte proliferation (GO:0070663)	27	4	0.44	+	9.15	1.42E-03	4.19E-02
regulation of mononuclear cell proliferation (GO:0032944)	27	4	0.44	+	9.15	1.42E-03	4.25E-02
ribonucleoprotein complex subunit organization (GO:0071826)	98	7	1.59	+	4.41	1.47E-03	4.29E-02
regulation of lymphocyte proliferation (GO:0050670)	27	4	0.44	+	9.15	1.42E-03	4.31E-02
leukocyte migration (GO:0050900)	72	6	1.17	+	5.15	1.53E-03	4.42E-02
cytoplasmic translation (GO:0002181)	49	5	0.79	+	6.31	1.66E-03	4.67E-02
granulocyte migration (GO:0097530)	49	5	0.79	+	6.31	1.66E-03	4.73E-02
