"","X","res_1.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation","seqnames","start","end","width"
"30",30,"peak69",3.08197324813775,1207.73943795106,-0.289021154890227,0.262775644717098,-1.09987801647822,0.271385274210157,0.750583331905379,0.124601084130095,"Not Sig","Unchanged","Cspp1","Promoter (<=1kb)","chr1",10037328,10038712,1385
"31",31,"peak70",2.91537996149016,822.962339611134,0.0298395101394173,0.286402828557156,0.104187204748442,0.917020787840494,0.995297646751418,0.00204702276078076,"Not Sig","Unchanged","Cspp1","Promoter (<=1kb)","chr1",10039663,10040370,708
"34",34,"peak75",2.64659474008909,443.194885631148,-0.686494585589609,0.299690654371006,-2.29067732202204,0.0219820831886869,0.161014698627478,0.793134476505864,"Not Sig","Unchanged","Prex2","Promoter (<=1kb)","chr1",10993288,10994377,1090
"36",36,"peak82",1.41976046333922,26.28817658267,-0.760540023930477,0.872994330056136,-0.871185525204467,0.383652862036702,0.851554255763139,0.0697876762652282,"Not Sig","Unchanged","Sulf1","Promoter (<=1kb)","chr1",12692796,12693413,618
"37",37,"peak84",1.78747733748178,61.302380227625,-0.352076551536192,0.582344376844389,-0.604584787860451,0.545454916788028,0.936826301278082,0.0283409250027367,"Not Sig","Unchanged","Sulf1","Promoter (<=1kb)","chr1",12835790,12836553,764
"38",38,"peak85",2.41481044913461,259.90249529529,-1.66545681831446,0.354038529381021,-4.70416827576999,2.54902946478582e-06,8.44225194330763e-05,4.07354169127714,"Sig","Down","Slco5a1","Promoter (<=1kb)","chr1",12990417,12991334,918
"39",39,"peak86",2.8731336998146,746.678591917812,-0.518834574504327,0.285033935446745,-1.82025545025415,0.0687201122966304,0.350690731799471,0.455075711682043,"Not Sig","Unchanged","Slco5a1","Promoter (<=1kb)","chr1",12991483,12992910,1428
"40",40,"peak88",0.950668949654013,8.92624801805544,-1.12150532759771,1.49681111611489,-0.749263093735351,0.453698647501885,NA,NA,NA,NA,"Prdm14","Promoter (<=1kb)","chr1",13126317,13126616,300
"41",41,"peak93",3.4005331145173,2514.971769752,0.219347159001304,0.316467220023195,0.693111782589131,0.488239403931485,0.912740319748072,0.0396527643517102,"Not Sig","Unchanged","Ncoa2","Promoter (<=1kb)","chr1",13372359,13374669,2311
"44",44,"peak98",2.47366128391315,297.619432276414,-1.41016320952523,0.33314950251082,-4.23282399912763,2.30775101706583e-05,0.000588464141982991,3.23027999571499,"Sig","Down","Eya1","Promoter (<=1kb)","chr1",14309429,14310296,868
"45",45,"peak101",2.68045766351204,479.134742964,-0.936881118672633,0.291163402703767,-3.21771592848785,0.0012921572441393,0.0177185665679066,1.75157141545287,"Not Sig","Unchanged","Msc","Promoter (<=1kb)","chr1",14755018,14756220,1203
"46",46,"peak103",1.32878193211723,21.3197413779296,-1.73686762457675,0.952629199128786,-1.82323576283949,0.0682676907156437,0.349477980530535,0.456580182537302,"Not Sig","Unchanged","Trpa1","Promoter (<=1kb)","chr1",14918512,14919043,532
"49",49,"peak108",2.36853229828166,233.63198467949,-0.104062753376314,0.348835780585453,-0.298314448138504,0.765463178019039,0.985733978958791,0.00624027274455299,"Not Sig","Unchanged","Sbspon","Promoter (<=1kb)","chr1",15892309,15893146,838
"50",50,"peak109",1.99138760763763,98.0364570023005,0.847906261324366,0.486662064890773,1.74228961428229,0.0814577798169316,0.391349361798186,0.407435370079059,"Not Sig","Unchanged","4930444P10Rik","Promoter (<=1kb)","chr1",16092835,16093532,698
"61",61,"peak138",2.03924953298357,109.45851024063,-2.07302612877872,0.471266974839308,-4.39883598778714,1.08833034375526e-05,0.000306057532012782,3.51419692813559,"Sig","Down","Tfap2b","Promoter (<=1kb)","chr1",19209658,19210574,917
"62",62,"peak139",1.35396898832093,22.5927443638355,-1.88930548853857,0.990729241849837,-1.90698468232446,0.0565225710781409,0.3087623151246,0.510375711354967,"Not Sig","Unchanged","Tfap2b","Promoter (1-2kb)","chr1",19210721,19210908,188
"63",63,"peak140",1.57461467492386,37.5504092776747,-1.35470708301703,0.72227819992695,-1.87560289533042,0.0607098285488231,0.323554554436615,0.490052482558606,"Not Sig","Unchanged","Tfap2b","Promoter (<=1kb)","chr1",19214025,19214313,289
"65",65,"peak145",3.03322741572084,1079.5118542109,0.277521792696419,0.269572668676028,1.02948787078242,0.303250476536506,0.787072011407018,0.103985531013263,"Not Sig","Unchanged","Paqr8","Promoter (<=1kb)","chr1",20890322,20891916,1595
"67",67,"peak147",2.72956578245527,536.495128042757,0.157664776878446,0.313084696107283,0.50358506448498,0.614552990194932,0.957366543950234,0.0189217534068956,"Not Sig","Unchanged","Tram2","Promoter (<=1kb)","chr1",21078675,21079918,1244
"69",69,"peak154",3.10816723416648,1282.82446592993,-0.451747627173846,0.272106633804616,-1.66018601184938,0.0968770377975854,0.436185012536403,0.360329261005283,"Not Sig","Unchanged","Kcnq5","Promoter (<=1kb)","chr1",21960347,21962410,2064
"72",72,"peak165",3.09411840002169,1241.99086059668,0.170834015953674,0.253451310013441,0.674030905362513,0.500291665397847,0.916480651703481,0.037876699220161,"Not Sig","Unchanged","B3gat2","Promoter (<=1kb)","chr1",23761643,23763547,1905
"81",81,"peak202",3.13163274226475,1354.04389143196,-0.10983577864447,0.281525678151674,-0.390144797325719,0.696429478791751,0.972819652924114,0.0119676643560016,"Not Sig","Unchanged","Ptp4a1","Promoter (<=1kb)","chr1",30948616,30950296,1681
"106",106,"peak255",2.6085671329375,406.038423536467,0.430373325569788,0.304164275346173,1.41493712593294,0.15708693146528,0.576713277428868,0.239040049893571,"Not Sig","Unchanged","Arid5a","Promoter (<=1kb)","chr1",36307639,36308502,864
"115",115,"peak265",0.914840612155431,8.21940938911952,-0.33223287921979,1.44086194345363,-0.230579258984004,0.817641682377123,NA,NA,"Not Sig","Unchanged","Zap70","Promoter (<=1kb)","chr1",36771037,36771199,163
"121",121,"peak275",2.676601011962,474.898734146904,0.638900274631414,0.330120930642866,1.93535221589022,0.0529470888051976,0.296950539784172,0.527315880944043,"Not Sig","Unchanged","Cracdl","Promoter (<=1kb)","chr1",37719218,37720363,1146
"123",123,"peak278",2.36045055975942,229.324555168585,-0.00267910821911293,0.349863016750853,-0.00765759194553792,0.993890185325732,0.998742457243689,0.00054648756762815,"Not Sig","Unchanged","Lipt1","Promoter (<=1kb)","chr1",37871895,37872880,986
"129",129,"peak288",2.93231571923956,855.688547087601,0.251807315614379,0.320748583459556,0.78506134898061,0.432417599840962,0.882567676239226,0.054251982494995,"Not Sig","Unchanged","Lonrf2","Promoter (<=1kb)","chr1",38835487,38836784,1298
"133",133,"peak295",3.04427523525491,1107.32533195292,-0.149467033720483,0.269494952439354,-0.554619047101147,0.57915525807782,0.94802472775384,0.0231803346165915,"Not Sig","Unchanged","Rpl31","Promoter (<=1kb)","chr1",39367687,39369044,1358
"135",135,"peak298",3.0893784786926,1228.50938539866,-0.101829041342196,0.284878389938691,-0.357447405414326,0.720756893201371,0.978833319497052,0.00929125567964842,"Not Sig","Unchanged","Cnot11","Promoter (<=1kb)","chr1",39535375,39536638,1264
"137",137,"peak300",2.65709827087952,454.044344847737,0.105172261568062,0.291592279054052,0.360682600750778,0.718336732998287,0.978352210323848,0.00950476948315944,"Not Sig","Unchanged","Creg2","Promoter (<=1kb)","chr1",39650147,39651301,1155
"141",141,"peak308",2.04512903230322,110.950440877579,1.75622968244112,0.475385686303835,3.69432596108638,0.000220470836231877,0.00412684631376285,2.38438170420897,"Sig","Up","Il1r1","Promoter (<=1kb)","chr1",40266310,40267073,764
"142",142,"peak310",1.7183420842849,52.2807831175377,-0.942000830649082,0.672551931863395,-1.4006365694901,0.161322779524013,0.584422471973617,0.233273093103066,"Not Sig","Unchanged","Il1rl2","Promoter (<=1kb)","chr1",40325257,40326206,950
"143",143,"peak312",2.75793242266801,572.70690939257,0.169059549287766,0.278852674381476,0.606268344611567,0.544336575518432,0.936259606687431,0.0286037131002892,"Not Sig","Unchanged","Slc9a2","Promoter (<=1kb)","chr1",40680569,40682049,1481
"149",149,"peak331",2.4213826115552,263.865500574284,-0.698667102663986,0.335921175668724,-2.07985430294216,0.0375388985427227,0.234388935954739,0.630062892514062,"Not Sig","Unchanged","Pantr2","Promoter (<=1kb)","chr1",42712965,42714026,1062
"150",150,"peak332",1.58256935213265,38.2445321164407,0.680906159445145,0.740969143391919,0.918939966012856,0.358126974044259,0.834359512035108,0.0786467785584678,"Not Sig","Unchanged","Pantr2","Promoter (<=1kb)","chr1",42714168,42714545,378
"156",156,"peak339",2.41676166754866,261.072824380073,-0.619846882544079,0.352232885895416,-1.75976437000866,0.0784477665664637,0.382452207494197,0.417422828009353,"Not Sig","Unchanged","Fhl2","Promoter (<=1kb)","chr1",43163305,43164248,944
"162",162,"peak351",2.86309326683036,729.614181588324,-0.175788332058566,0.269019076085414,-0.653441884555254,0.513471443961796,0.921559471256502,0.0354766330926243,"Not Sig","Unchanged","Ercc5","Promoter (<=1kb)","chr1",44147438,44148566,1129
"163",163,"peak352",1.28883698315267,19.4463000797504,1.00027361664272,0.996497165095435,1.00378972633296,0.315479977391328,0.801245758253781,0.0962342565955631,"Not Sig","Unchanged","Ercc5","Promoter (2-3kb)","chr1",44154506,44154903,398
"167",167,"peak366",2.67801516755452,476.447626250443,0.0407647652630846,0.290381041090114,0.140383701050352,0.888356835002368,0.992949428610957,0.00307286976693903,"Not Sig","Unchanged","Slc40a1","Promoter (<=1kb)","chr1",45925107,45926338,1232
"177",177,"peak404",2.88443092758947,766.356645198022,-0.713603748992132,0.293262824688926,-2.43332495262254,0.0149608674366575,0.122272070486265,0.912672733633572,"Not Sig","Unchanged","Myo1b","Promoter (<=1kb)","chr1",51914984,51916227,1244
"179",179,"peak409",3.24831837795019,1771.40708737002,0.224360627775205,0.294311544691372,0.76232357113439,0.445866909153222,0.89177130186333,0.0497465078138818,"Not Sig","Unchanged","Gls","Promoter (<=1kb)","chr1",52231897,52233723,1827
"185",185,"peak416",2.60310752926109,400.965982620214,0.886773820108932,0.314268291252906,2.82170949087354,0.00477684272398419,0.0508255211298336,1.29391815971106,"Not Sig","Unchanged","1700019D03Rik","Promoter (<=1kb)","chr1",52952306,52953350,1045
"189",189,"peak424",2.14397034755584,139.306168524114,-1.06056614542029,0.419636242046457,-2.52734639946299,0.0114928084271094,0.100266008540286,0.998846273414354,"Not Sig","Unchanged","Dnah7a","Promoter (<=1kb)","chr1",53706403,53707206,804
"200",200,"peak439",1.23524919453035,17.1889439143177,-1.98133052829443,1.05945088420289,-1.8701485437762,0.0614631929511205,0.326236159407835,0.486467904236982,"Not Sig","Unchanged","Rftn2","Promoter (1-2kb)","chr1",55225436,55225661,226
"201",201,"peak440",2.05228326938927,112.793291265293,-1.54893206808406,0.458930539839547,-3.37509041918545,0.000737914419799581,0.0112033962740599,1.95065030237514,"Sig","Down","Rftn2","Promoter (<=1kb)","chr1",55226086,55226904,819
"203",203,"peak442",0.924542585062543,8.40509419824251,-0.800849882625525,1.51293577702746,-0.5293350152635,0.596573069499951,NA,NA,"Not Sig","Unchanged","Boll","Promoter (2-3kb)","chr1",55297801,55297973,173
"204",204,"peak443",1.12533034040288,13.3453614361917,-1.04321966990356,1.22456824790287,-0.851908149415203,0.39426507335723,NA,NA,NA,NA,"Boll","Promoter (<=1kb)","chr1",55362734,55363017,284
"205",205,"peak444",2.10794814928086,128.217749345805,-0.816020875052619,0.443543097202505,-1.83977809642262,0.0658008224385333,0.341209103451427,0.466979390382651,"Not Sig","Unchanged","Boll","Promoter (<=1kb)","chr1",55363052,55363995,944
"206",206,"peak445",3.13738324608983,1372.09204394043,-0.373901408515371,0.265422091535938,-1.40870492863532,0.15892243695549,0.58016321890564,0.236449807992268,"Not Sig","Unchanged","Plcl1","Promoter (<=1kb)","chr1",55405484,55407327,1844
"207",207,"peak452",3.22181991106573,1666.55599831312,-0.355469619762988,0.251587993092711,-1.41290375344739,0.157684025331625,0.577398866318534,0.238524073160681,"Not Sig","Unchanged","Satb2","Promoter (<=1kb)","chr1",56971080,56973599,2520
"210",210,"peak460",2.97013527386865,933.545035743825,-0.0258153519082203,0.284216458347324,-0.0908298979528937,0.927627753105828,0.996541936332834,0.00150442066171398,"Not Sig","Unchanged","Spats2l","Promoter (<=1kb)","chr1",57774547,57775875,1329
"224",224,"peak483",2.93290795290034,856.856218495894,-0.230168537372625,0.277941675907366,-0.828118117303633,0.407603610129238,0.864055732743893,0.0634582440459813,"Not Sig","Unchanged","Tmem237","Promoter (<=1kb)","chr1",59119510,59120689,1180
"227",227,"peak488",3.20878225349426,1617.26896824719,0.15237174909911,0.268768219755191,0.566926213366665,0.570764313772708,0.945000260096697,0.0245680719578854,"Not Sig","Unchanged","Fzd7","Promoter (<=1kb)","chr1",59482080,59483761,1682
"228",228,"peak489",2.13855621090765,137.580286946491,0.549439061408384,0.418686054068392,1.31229367701517,0.18942106476139,0.636693494170418,0.196069587799615,"Not Sig","Unchanged","Fzd7","Promoter (2-3kb)","chr1",59484588,59484960,373
"232",232,"peak493",3.3411005303846,2193.31258407445,-0.0466777891067349,0.259981661690684,-0.179542621595635,0.857511653813722,0.992721182671607,0.00317271105164155,"Not Sig","Unchanged","Bmpr2","Promoter (<=1kb)","chr1",59762674,59765039,2366
"234",234,"peak495",2.79213407338918,619.632335589189,0.165441248815541,0.337893213139438,0.489625841485217,0.624398686922792,0.959257985314487,0.0180645768431374,"Not Sig","Unchanged","Ica1l","Promoter (<=1kb)","chr1",60042320,60043618,1299
"240",240,"peak508",2.81195271633041,648.563817530772,-0.410824351163688,0.309536776458443,-1.32722307140407,0.184434902638789,0.626911261992109,0.202793928315298,"Not Sig","Unchanged","Pard3b","Promoter (<=1kb)","chr1",61638521,61639609,1089
"245",245,"peak515",2.38763968368609,244.140417932627,0.00110255363846022,0.388571491133302,0.00283745375978184,0.997736042490986,0.999576543189597,0.000183943904981327,"Not Sig","Unchanged","Zdbf2","Promoter (<=1kb)","chr1",63272832,63274169,1338
"246",246,"peak517",2.98573455712054,967.686220994604,0.386089184524828,0.362827409772784,1.06411250673319,0.287277735831049,0.768917181942625,0.114120434401727,"Not Sig","Unchanged","Adam23","Promoter (<=1kb)","chr1",63445569,63446900,1332
"254",254,"peak530",1.57931273797835,37.9588230267985,1.90613597174577,0.735597577005093,2.59127548993079,0.00956209106353395,0.0870281975870452,1.06034001091759,"Not Sig","Unchanged","Fzd5","Promoter (2-3kb)","chr1",64734997,64735274,278
"255",255,"peak531",1.99187971852618,98.1476077400059,-0.854589753495028,0.480285316018907,-1.77933766657439,0.0751844191526466,0.372105786573875,0.429333576262899,"Not Sig","Unchanged","Fzd5","Promoter (<=1kb)","chr1",64736119,64736795,677
"256",256,"peak532",2.72386584021705,529.49984854079,0.242775330469096,0.291991856520506,0.831445552496244,0.405721974617505,0.863238234980605,0.0638693319102438,"Not Sig","Unchanged","Fzd5","Promoter (<=1kb)","chr1",64737007,64738160,1154
"261",261,"peak539",1.99911211872481,99.7957666219001,0.41802493776543,0.505843707536477,0.826391495114696,0.408582046383079,0.864742946846352,0.0631129715607261,"Not Sig","Unchanged","Pth2r","Promoter (<=1kb)","chr1",65311181,65312036,856
"277",277,"peak575",1.9608377525191,91.3771802938629,-1.61080546623372,0.503560967140862,-3.1988290819672,0.00137986949120834,0.01865254265076,1.72926195828282,"Sig","Down","Spag16","Promoter (<=1kb)","chr1",69826635,69827384,750
"278",278,"peak578",1.17252310050182,14.8772650544379,-0.21761131826016,1.10957455259904,-0.196121403244544,0.84451514419553,0.992161666657211,0.00341755645811652,"Not Sig","Unchanged","Vwc2l","Promoter (<=1kb)","chr1",70725763,70726033,271
"281",281,"peak583",2.62760869117477,424.237144743635,-1.01778718687573,0.301479754228691,-3.37597192713537,0.000735554240350677,0.0111818344614588,1.95148694142873,"Sig","Down","Apol7d","Promoter (<=1kb)","chr1",71652544,71653957,1414
"282",282,"peak585",2.86644448148429,735.265995924983,0.124187360662071,0.308582820062221,0.402444182203761,0.687357159659801,0.971520704625787,0.0125479394708762,"Not Sig","Unchanged","Mreg","Promoter (<=1kb)","chr1",72211342,72212565,1224
"285",285,"peak592",1.4404848811405,27.5730546208804,-1.80826379799211,0.845536399602237,-2.13859959055904,0.032468110701385,0.212678640334981,0.67227612481499,"Not Sig","Unchanged","Marchf4","Promoter (1-2kb)","chr1",72534917,72535079,163
"286",286,"peak593",2.85364641195134,713.914843796341,-0.0851112450151123,0.283693603313067,-0.300011152952182,0.76416864843619,0.985597761842426,0.0063002914018369,"Not Sig","Unchanged","Marchf4","Promoter (<=1kb)","chr1",72535803,72537544,1742
"289",289,"peak598",2.62326192670173,420.012220567009,-0.658629616133828,0.313229097520657,-2.10270891608463,0.0354912221904935,0.226373101108319,0.645175179666897,"Not Sig","Unchanged","Igfbp2","Promoter (<=1kb)","chr1",72824321,72825816,1496
"290",290,"peak599",2.44209291229986,276.753366401751,-0.0475271037412946,0.334594139229207,-0.142044041329538,0.887045218398839,0.992949428610957,0.00307286976693903,"Not Sig","Unchanged","Igfbp5","Promoter (1-2kb)","chr1",72871628,72872339,712
"291",291,"peak600",2.88243565668433,762.843862924375,0.251012746782183,0.278346281769333,0.901800251063523,0.367162986404196,0.840676158980815,0.0753712687121226,"Not Sig","Unchanged","Igfbp5","Promoter (<=1kb)","chr1",72873335,72874856,1522
"292",292,"peak603",1.48200290617549,30.3391148620146,-1.00541163380112,0.812608529725901,-1.2372644354844,0.215988926642927,0.682416009795735,0.165950792971272,"Not Sig","Unchanged","Tns1","Promoter (<=1kb)","chr1",73962359,73963009,651
"293",293,"peak604",1.62631833739569,42.2978543487635,0.00162858127095691,0.715586242067742,0.00227587001428507,0.998184120020792,0.999576543189597,0.000183943904981327,"Not Sig","Unchanged","Tns1","Promoter (<=1kb)","chr1",74036491,74037212,722
"294",294,"peak606",1.96812322499632,92.9230005420729,0.0595641755060376,0.496801836168645,0.119895240253939,0.904566135005116,0.994109904506638,0.00256559922219406,"Not Sig","Unchanged","Tns1","Promoter (1-2kb)","chr1",74098224,74098969,746
"295",295,"peak607",1.86326972070464,72.9910684104865,-0.388998412003171,0.536093772563342,-0.725616360255722,0.468073988809284,0.903633569172793,0.0440076438033499,"Not Sig","Unchanged","Tns1","Promoter (<=1kb)","chr1",74124197,74125058,862
"303",303,"peak616",2.17525541644279,149.711587816809,0.465431644442317,0.406198092126208,1.14582429968111,0.251867858584571,0.72924281654929,0.137127840229363,"Not Sig","Unchanged","Mir26b","Promoter (2-3kb)","chr1",74396978,74398071,1094
"310",310,"peak623",1.9347242322857,86.0447213091737,-0.574993373258045,0.508696138191446,-1.13032777347653,0.258338135785517,0.735622093174535,0.133345235932461,"Not Sig","Unchanged","Cyp27a1","Promoter (<=1kb)","chr1",74713213,74713991,779
"311",311,"peak624",2.12306180350076,132.758336978222,0.343534979589532,0.42362471835946,0.810941771575358,0.417399110503521,0.871920866352035,0.0595229289047587,"Not Sig","Unchanged","Wnt6","Promoter (<=1kb)","chr1",74771305,74772458,1154
"312",312,"peak625",2.17573718524259,149.87775707561,-0.348008791591235,0.419103699680367,-0.8303643987315,0.406332787792763,0.863238234980605,0.0638693319102438,"Not Sig","Unchanged","Wnt6","Promoter (1-2kb)","chr1",74783852,74784751,900
"313",313,"peak626",1.21618085610854,16.4505664235357,-0.134095868592751,1.06251800551469,-0.126205737593872,0.899569069740741,0.993764605035733,0.00271647560358211,"Not Sig","Unchanged","Wnt10a","Promoter (<=1kb)","chr1",74791773,74792075,303
"314",314,"peak627",1.66406212352616,46.1383568316779,1.90622807389099,0.694232232162385,2.74580750587379,0.00603621690711395,0.0608749319183709,1.2155615114856,"Not Sig","Unchanged","Wnt10a","Promoter (1-2kb)","chr1",74794433,74795103,671
"317",317,"peak634",1.80654323152267,64.0535540031999,-0.202785361558266,0.567108169545589,-0.357577923310034,0.720659202015046,0.978833319497052,0.00929125567964842,"Not Sig","Unchanged","Cryba2","Promoter (<=1kb)","chr1",74892655,74893584,930
"318",318,"peak635",1.89022574839177,77.6650718557321,-0.569949996819592,0.522494336659107,-1.09082521442036,0.275349799323633,0.752955654985056,0.123230600641794,"Not Sig","Unchanged","Mir375","Promoter (<=1kb)","chr1",74900412,74901243,832
"319",319,"peak636",1.43385556081781,27.1553597615692,0.216882266040627,0.826037289639177,0.262557476231326,0.792891679386185,0.987103696740034,0.00563722163997644,"Not Sig","Unchanged","Cfap65","Promoter (<=1kb)","chr1",74935274,74935660,387
"320",320,"peak637",1.96355973793177,91.951694719831,-0.259176759342143,0.513809756346513,-0.504421638828038,0.613965115202856,0.957260898865662,0.0189696803051425,"Not Sig","Unchanged","Ihh","Promoter (<=1kb)","chr1",74950657,74951941,1285
"322",322,"peak640",2.71173822763134,514.918182466696,0.107749253000024,0.300459642423089,0.358614728191342,0.719883327226118,0.978670036564466,0.00936370804766723,"Not Sig","Unchanged","Zfand2b","Promoter (<=1kb)","chr1",75168294,75169357,1064
"329",329,"peak647",1.93669041639311,86.4351552509224,0.534822392067014,0.521193515937742,1.02614935856359,0.3048211875403,0.789056184778265,0.102892071733015,"Not Sig","Unchanged","Resp18","Promoter (<=1kb)","chr1",75277436,75278543,1108
"344",344,"peak674",1.31944542515587,20.8662989480156,-0.465237245298745,0.94288481562394,-0.493418960184316,0.621716588145467,0.958739374282686,0.0182994363060324,"Not Sig","Unchanged","Epha4","Promoter (1-2kb)","chr1",77513570,77513732,163
"345",345,"peak675",2.53861043906276,345.629210300952,-0.80798891804825,0.319416760424087,-2.5295758337023,0.0114200492471463,0.0998142511531439,1.00080744713634,"Not Sig","Unchanged","Epha4","Promoter (<=1kb)","chr1",77514053,77515689,1637
"346",346,"peak677",2.78556142410742,610.32537144205,-1.8989969568308,0.283904652424839,-6.68885465810935,2.24923978429853e-11,2.20212607852865e-09,8.65715781995019,"Sig","Down","Pax3","Promoter (<=1kb)","chr1",78195037,78197361,2325
"350",350,"peak685",1.8981892939445,79.1023332584946,0.513304147164783,0.539185610411427,0.951998972622999,0.341097502918044,0.822456237026834,0.0848872016131306,"Not Sig","Unchanged","Mogat1","Promoter (<=1kb)","chr1",78537257,78538033,777
"353",353,"peak697",2.82578418232059,669.551800615324,0.463686515042011,0.269494417852376,1.72057929339378,0.0853271935779507,0.403341796624881,0.394326771538116,"Not Sig","Unchanged","Ap1s3","Promoter (<=1kb)","chr1",79671327,79672422,1096
"356",356,"peak701",2.76213476349483,578.275460996079,-0.36190034741564,0.294173877833746,-1.23022598090837,0.218612493352052,0.686058544959594,0.163638822094986,"Not Sig","Unchanged","Serpine2","Promoter (<=1kb)","chr1",79857912,79859070,1159
"363",363,"peak720",2.85340075137409,713.511128928083,0.0498153761919894,0.289778833151794,0.171908264141207,0.863509649466,0.992721182671607,0.00317271105164155,"Not Sig","Unchanged","Rhbdd1","Promoter (<=1kb)","chr1",82316169,82317265,1097
"364",364,"peak721",1.78626598944707,61.1316319105107,1.26979524414792,0.630773567036643,2.0130761821764,0.0441066154745154,0.262729216012568,0.580491630116365,"Not Sig","Unchanged","Col4a3","Promoter (<=1kb)","chr1",82586506,82587303,798
"365",365,"peak723",2.94522382037758,881.503052194148,-0.0564013428756067,0.262411242407628,-0.21493493326781,0.829818048513043,0.991403304561795,0.00374963783094772,"Not Sig","Unchanged","Mff","Promoter (<=1kb)","chr1",82724750,82725835,1086
"373",373,"peak736",2.96941628026567,932.000789542245,0.16546232430729,0.271512683725658,0.609409188686287,0.542253248836372,0.935107787986817,0.0291383259939636,"Not Sig","Unchanged","Slc16a14","Promoter (<=1kb)","chr1",84933919,84935317,1399
"374",374,"peak776",1.54020624457681,34.6901553392973,-0.622322429373882,0.943041344109724,-0.659910016947755,0.509311575666157,0.920260912356738,0.0360890240326485,"Not Sig","Unchanged","Gm7609","Promoter (2-3kb)","chr1",85202610,85202824,215
"375",375,"peak784",1.60043592227605,39.8506970498943,0.0609786414366837,0.762160472591114,0.08000761470793,0.936231199727009,0.996541936332834,0.00150442066171398,"Not Sig","Unchanged","C130026I21Rik","Promoter (<=1kb)","chr1",85254320,85254515,196
"376",376,"peak787",1.52753636308722,33.6927425191443,0.550718496658017,0.919547273230682,0.598901777744559,0.549238385895577,0.938986090747461,0.0273408409142569,"Not Sig","Unchanged","C130026I21Rik","Promoter (<=1kb)","chr1",85271244,85271429,186
"377",377,"peak813",1.68548288045984,48.4711005328694,-0.176817002049477,0.695399450528955,-0.254266813002197,0.799289436806345,0.987890019796341,0.00529140202593691,"Not Sig","Unchanged","Sp110","Promoter (1-2kb)","chr1",85585674,85585872,199
"378",378,"peak814",1.61096063097723,40.8282373643608,0.399762947281997,0.792462278878565,0.504456751995454,0.613940446005456,0.957260898865662,0.0189696803051425,"Not Sig","Unchanged","Sp110","Promoter (1-2kb)","chr1",85590236,85590417,182
